"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"548","Connor McDavid","EDM","C","56","1240.6","33","72","50","22","105","84.00","200","16.50","22.35","314","257","221","97","8","24","20","10","10","0","0","29","47","36","61","89","24","316","322","49.53"
"476","Leon Draisaitl","EDM","C","56","1242.55","31","53","30","23","84","71.79","168","18.45","20","302","229","171","62","6","13","22","11","11","0","0","12","71","56","37","97","12","574","457","55.67"
"58","Brad Marchand","BOS","C, L","53","1002.25","29","40","26","14","69","77.53","143","20.28","17","228","182","133","55","8","13","46","23","23","0","0","18","36","42","66","56","11","11","24","31.43"
"590","Mitchell Marner","TOR","R","55","1233.4833333333","20","47","34","13","67","75.28","156","12.82","18.52","295","208","198","60","11","25","20","10","10","0","0","13","69","53","23","52","41","4","1","80.00"
"97","Patrick Kane","CHI","R","56","1244.8666666667","15","51","33","18","66","77.65","191","7.85","14.87","323","240","177","40","6","15","14","7","7","0","0","6","45","33","13","59","15","2","5","28.57"
"556","Mikko Rantanen","COL","R","52","1035.7333333333","30","36","18","18","66","70.97","177","16.95","20.07","310","240","174","70","4","20","34","17","17","0","0","18","16","32","26","70","20","32","32","50.00"
"644","Auston Matthews","TOR","C","52","1120.7666666667","41","25","15","10","66","77.65","222","18.47","25.73","366","315","273","125","4","23","10","5","5","0","0","14","53","47","57","65","47","450","417","51.90"
"437","Nathan MacKinnon","COL","C","48","978.03333333333","20","45","28","17","65","74.71","206","9.71","19.06","374","280","207","56","9","28","37","12","10","1","1","22","29","16","38","51","15","239","254","48.48"
"300","Mark Scheifele","WPG","C","56","1174.95","21","42","20","22","63","81.82","126","16.67","15.27","205","163","133","56","1","18","12","6","6","0","0","14","37","48","31","105","38","352","355","49.79"
"38","Sidney Crosby","PIT","C","55","1121.9","24","38","20","18","62","72.94","159","15.09","18.44","251","208","156","72","7","17","26","13","13","0","0","15","54","51","44","57","28","676","586","53.57"
"250","Mark Stone","VGK","R","55","1048.35","21","40","26","14","61","78.21","98","21.43","15.07","173","145","123","60","4","9","28","10","8","2","0","10","24","58","31","52","33","12","18","40.00"
"296","Jonathan Huberdeau","FLA","L","55","1012.5666666667","20","41","22","19","61","71.76","123","16.26","10.53","190","153","100","36","9","10","36","14","13","0","1","22","43","37","51","50","11","17","22","43.59"
"94","David Perron","STL","L","56","1038.75","19","39","20","19","58","82.86","151","12.58","13.16","288","202","133","32","5","13","22","11","11","0","0","12","32","17","45","34","25","0","6","0.00"
"438","Aleksander Barkov","FLA","C","50","1046.8666666667","26","32","25","7","58","74.36","176","14.77","19.03","261","221","172","72","5","13","14","7","7","0","0","16","23","39","31","81","37","563","463","54.87"
"606","Artemi Panarin","NYR","L","42","825","17","41","25","16","58","84.06","106","16.04","10.12","222","165","115","21","4","13","6","3","3","0","0","9","26","21","13","21","7","0","3","0.00"
"409","Jake Guentzel","PIT","L","56","1134.9666666667","23","34","20","14","57","66.28","141","16.31","18.59","238","184","171","85","8","13","28","14","14","0","0","20","23","17","43","115","32","3","9","25.00"
"559","Sebastian Aho","CAR","C","56","1090.35","24","33","24","9","57","66.28","148","16.22","18.16","251","208","159","71","5","13","32","16","16","0","0","14","61","33","38","51","25","365","327","52.75"
"654","Alex DeBrincat","CHI","L","52","1068.0666666667","32","24","14","10","56","71.79","155","20.65","16.6","268","199","170","60","6","12","12","6","6","0","0","16","43","31","70","89","22","16","24","40.00"
"153","Ryan O'Reilly","STL","C","56","1161.9333333333","24","30","14","16","54","62.07","129","18.60","13","185","161","109","47","5","19","18","9","9","0","0","9","24","43","24","38","26","704","492","58.86"
"71","Nicklas Backstrom","WSH","C","55","1022.7166666667","15","38","16","22","53","69.74","91","16.48","10.37","161","126","91","39","5","11","14","7","7","0","0","8","24","33","25","33","27","353","378","48.29"
"295","Gabriel Landeskog","COL","L","54","1077.6833333333","20","32","12","20","52","57.14","155","12.90","19.86","271","219","187","104","6","27","34","17","17","0","0","15","35","16","81","76","28","288","221","56.58"
"24","Joe Pavelski","DAL","C","56","1065.2333333333","25","26","14","12","51","65.38","139","17.99","17.85","242","211","151","86","6","16","16","8","8","0","0","12","20","17","64","45","39","362","334","52.01"
"102","Max Pacioretty","VGK","L","48","861.08333333333","24","27","15","12","51","72.86","174","13.79","16.19","285","231","147","55","9","14","14","7","7","0","0","8","17","15","33","66","29","20","23","46.51"
"618","Kirill Kaprizov","MIN","L","55","1006.3666666667","27","24","17","7","51","78.46","157","17.20","16.93","280","228","160","72","5","15","16","8","8","0","0","25","35","27","29","60","18","3","21","12.50"
"41","Anze Kopitar","L.A","C","56","1186.2333333333","13","37","24","13","50","76.92","118","11.02","12.64","216","162","110","42","4","20","10","5","5","0","0","11","34","12","45","51","37","661","493","57.28"
"157","John Tavares","TOR","C","56","1019.0333333333","19","31","18","13","50","71.43","163","11.66","20.78","278","222","218","102","7","17","14","7","7","0","0","13","55","32","51","81","28","471","381","55.28"
"299","Mika Zibanejad","NYR","C","56","1125.6166666667","24","26","17","9","50","64.94","171","14.04","20.76","316","250","177","77","10","11","18","9","9","0","0","11","45","39","75","53","44","479","555","46.32"
"544","Kyle Connor","WPG","L","56","1050.4","26","24","13","11","50","70.42","166","15.66","16.72","302","228","197","61","6","17","12","6","6","0","0","9","32","37","18","54","18","6","4","60.00"
"160","Evander Kane","S.J","L","56","1131.0333333333","22","27","19","8","49","70.00","194","11.34","19.48","322","255","184","81","10","30","42","21","21","0","0","18","33","30","97","67","22","23","34","40.35"
"265","Johnny Gaudreau","CGY","L","56","1031.15","19","30","22","8","49","74.24","112","16.96","11.47","197","156","112","39","7","5","6","3","3","0","0","18","59","23","8","29","9","0","1","0.00"
"298","Ryan Strome","NYR","C","56","1023.2166666667","14","35","19","16","49","63.64","129","10.85","12.81","211","164","129","57","3","15","39","14","12","1","1","10","32","22","22","56","18","321","422","43.20"
"568","Brock Boeser","VAN","R","56","1081.9","23","26","16","10","49","62.03","141","16.31","16.14","247","195","156","65","9","12","16","7","7","0","0","6","31","16","32","28","20","8","14","36.36"
"19","Patrice Bergeron","BOS","C","54","983.98333333333","23","25","11","14","48","55.17","182","12.64","18.81","298","256","195","83","12","10","16","7","7","0","0","4","14","35","49","34","36","714","433","62.25"
"174","Tyson Barrie","EDM","D","56","1198.2","8","40","13","27","48","50.53","146","5.48","6.65","291","192","74","11","2","13","10","5","5","0","0","11","43","16","26","79","59","0","0","-"
"408","Pavel Buchnevich","NYR","R","54","1011.5666666667","20","28","17","11","48","78.69","120","16.67","12.41","201","161","109","46","4","14","42","14","11","2","1","15","39","30","49","71","29","4","14","22.22"
"495","David Pastrnak","BOS","R","48","893.66666666667","20","28","21","7","48","73.85","176","11.36","13.78","334","247","149","40","14","17","24","12","12","0","0","22","31","25","35","60","13","2","5","28.57"
