Player,Age
Justin Abdelkader\\abdelju01,31
Pontus Aberg\\abergpo01,25
Pontus Aberg\\abergpo01,25
Pontus Aberg\\abergpo01,25
Vitaly Abramov\\abramvi01,20
Noel Acciari\\acciano01,27
Kenny Agostino\\agostke01,26
Kenny Agostino\\agostke01,26
Kenny Agostino\\agostke01,26
Andrew Agozzino\\agozzan01,28
Sebastian Aho\\ahose01,21
Mark Alt\\altma01,27
Karl Alzner\\alzneka01,30
Michael Amadio\\amadimi01,22
Joey Anderson\\anderjo08,20
Josh Anderson\\anderjo05,24
Jaret Anderson-Dolan\\anderja01,19
Lias Andersson\\anderli01,20
Rasmus Andersson\\anderra01,22
Sven Andrighetto\\andrisv01,25
Artem Anisimov\\anisiar01,30
Mason Appleton\\applema01,23
Darren Archibald\\archida02,28
Darren Archibald\\archida02,28
Darren Archibald\\archida02,28
Josh Archibald\\archijo01,26
Joel Armia\\armiajo01,25
Viktor Arvidsson\\arvidvi01,25
Zach Aston-Reese\\astonza01,24
Andreas Athanasiou\\athanan01,24
Cam Atkinson\\atkinca01,29
Nicolas Aube-Kubel\\aubekni01,22
David Backes\\backeda01,34
Mikael Backlund\\backlmi01,29
Nicklas Backstrom\\backsni02,31
Sven Baertschi\\baertsv01,26
Josh Bailey\\bailejo01,29
Justin Bailey\\baileju01,23
Rudolfs Balcers\\balceru01,21
Ivan Barbashev\\barbaiv01,23
Mark Barberio\\barbema01,28
Aleksander Barkov\\barkoal01,23
Tyson Barrie\\barrity01,27
Matt Bartkowski\\bartkma01,30
Mathew Barzal\\barzama01,21
Nathan Bastian\\bastina01,21
Drake Batherson\\bathedr01,20
Gavin Bayreuther\\bayrega01,24
Jay Beagle\\beaglja01,33
Jake Bean\\beanja01,20
Nathan Beaulieu\\beaulna01,26
Nathan Beaulieu\\beaulna01,26
Nathan Beaulieu\\beaulna01,26
Anthony Beauvillier\\beauvan01,21
Matt Beleskey\\belesma01,30
Pierre-Edouard Bellemare\\bellepi01,33
Louis Belpedio\\belpelo01,22
Jamie Benn\\bennja01,29
Jordie Benn\\bennjo01,31
Sam Bennett\\bennesa01,22
Matt Benning\\bennima01,24
Patrice Bergeron\\bergepa01,33
Patrik Berglund\\berglpa01,30
Tyler Bertuzzi\\bertuty01,23
Alex Biega\\biegaal01,30
Clark Bishop\\bishocl01,22
Anthony Bitetto\\bitetan01,28
Anthony Bitetto\\bitetan01,28
Anthony Bitetto\\bitetan01,28
Anders Bjork\\bjorkan01,22
Oliver Bjorkstrand\\bjorkol01,23
Nick Bjugstad\\bjugsni01,26
Nick Bjugstad\\bjugsni01,26
Nick Bjugstad\\bjugsni01,26
Colin Blackwell\\blackco01,25
Sammy Blais\\blaissa01,22
